,protocol,number of @,number of //,number of /,number of .,number of -,number of random characters,length of url,length of host name,length of query component,number of third level domains,existence of ip,existence of shady TLD,label
227,0,0,0,0,0,0,0,11,0,0,0,0,0,0
228,0,0,0,0,0,0,0,19,0,0,0,0,0,0
229,1,0,0,4,5,0,0,174,39,0,4,0,0,1
230,0,0,0,0,0,0,0,16,0,0,0,0,0,0
231,0,0,0,0,1,0,0,12,4,0,0,0,0,0
232,0,0,0,0,0,0,0,11,0,0,0,0,0,0
233,0,0,0,0,0,0,0,14,0,0,0,0,0,0
234,0,0,0,0,0,0,0,19,0,0,0,0,0,0
235,0,0,0,0,0,0,0,19,0,0,0,0,0,0
236,0,0,0,0,0,0,0,17,0,0,0,0,0,0
237,1,0,0,2,3,0,2,58,13,14,0,1,0,1
238,0,0,0,0,0,0,0,16,0,0,0,0,0,0
239,0,0,0,0,0,0,0,13,0,0,0,0,0,0
240,0,0,0,0,0,0,0,17,0,0,1,0,0,1
241,1,0,0,1,1,0,0,28,13,0,0,0,0,1
242,0,0,0,0,0,0,0,21,0,0,0,0,0,0
243,0,0,0,0,0,0,0,12,0,0,0,0,0,0
244,0,0,0,0,0,0,0,17,0,0,0,0,0,0
245,0,0,0,0,0,0,0,9,0,0,0,0,0,0
246,0,0,0,0,0,0,0,12,0,0,0,0,0,0
247,0,0,0,0,0,0,0,20,0,0,0,0,0,0
248,0,0,0,0,0,0,0,7,0,0,0,0,0,0
249,0,0,0,0,0,0,0,15,0,0,0,0,0,0
250,0,0,0,0,0,0,0,23,0,0,0,0,0,0
251,0,0,0,0,2,0,0,19,11,0,1,0,0,0
252,0,0,0,0,0,0,0,24,0,0,1,0,0,1
253,0,0,0,0,0,0,0,19,0,0,0,0,0,0
254,0,0,0,0,0,0,0,10,0,0,0,0,0,0
255,0,0,0,0,0,0,0,16,0,0,0,0,0,0
256,1,0,0,2,1,0,2,58,11,35,0,0,0,1
257,0,0,0,0,0,0,0,14,0,0,0,0,0,0
258,0,0,0,0,0,0,0,13,0,0,0,0,0,0
259,0,0,0,0,0,0,0,6,0,0,0,0,0,0
260,0,0,0,0,1,0,0,21,13,0,0,0,0,0
261,0,0,0,0,0,0,0,19,0,0,0,0,0,0
262,0,0,0,0,0,0,0,15,0,0,0,0,0,0
263,1,0,0,5,1,0,0,49,17,0,0,0,0,1
264,0,0,0,0,0,0,0,11,0,0,0,0,0,0
265,0,0,0,0,0,0,0,16,0,0,0,0,0,0
266,0,0,0,0,0,0,0,6,0,0,0,0,0,0
267,0,0,0,1,2,0,14,140,14,110,1,0,0,0
268,0,0,0,0,0,0,0,20,0,0,0,0,0,0
269,0,0,0,0,0,0,0,19,0,0,0,0,0,0
270,0,0,0,0,0,0,0,21,0,0,0,0,0,0
271,0,0,0,1,2,0,14,140,14,110,1,0,0,0
272,0,0,0,0,0,0,0,13,0,0,0,0,0,1
273,1,0,0,3,2,1,0,46,17,0,1,0,0,1
274,0,0,0,0,0,0,0,14,0,0,0,0,0,0
275,0,0,0,0,0,0,0,19,0,0,0,0,0,0
276,0,0,0,1,3,0,0,24,15,0,1,0,0,0
277,1,0,0,2,1,0,0,41,15,0,0,0,0,1
278,0,0,0,0,0,0,0,16,0,0,0,0,0,0
279,0,0,0,0,0,0,0,19,0,0,0,0,0,0
280,0,0,0,0,0,0,0,8,0,0,0,0,0,0
281,0,0,0,1,3,0,0,24,15,0,1,0,0,0
282,0,0,0,0,0,0,0,18,0,0,0,0,0,0
283,0,0,0,0,0,0,0,9,0,0,0,0,0,0
284,0,0,0,0,0,0,0,15,0,0,0,0,0,0
285,0,0,0,0,0,0,0,13,0,0,0,0,0,0
286,0,0,0,0,0,0,0,28,0,0,0,0,0,0
287,0,0,0,0,0,0,0,14,0,0,0,0,0,0
288,0,0,0,0,0,0,0,20,0,0,0,0,0,0
289,1,0,0,1,2,0,16,208,14,182,1,0,0,1
290,0,0,0,0,0,0,0,18,0,0,0,0,0,0
291,0,0,0,0,0,0,0,7,0,0,0,0,0,0
292,1,0,0,2,1,0,0,34,22,0,0,0,0,1
293,1,0,0,1,5,0,0,45,37,0,4,0,0,1
294,0,0,0,1,2,0,14,140,14,110,1,0,0,0
295,0,0,0,0,0,0,0,13,0,0,0,0,0,0
296,1,0,0,6,2,2,1,80,26,0,1,0,0,1
297,0,0,0,0,0,0,0,17,0,0,0,0,0,0
298,0,0,0,0,0,0,0,17,0,0,0,0,0,0
299,0,0,0,0,0,0,0,34,0,0,0,0,0,0
300,1,0,0,0,3,0,0,19,12,0,0,1,0,1
301,1,0,0,4,1,0,3,79,12,27,0,0,0,1
302,1,0,0,2,1,0,13,131,13,95,0,0,0,1
303,0,0,0,0,0,0,0,16,0,0,1,0,0,0
304,1,0,0,10,2,0,0,135,14,0,1,0,0,1
305,0,0,0,0,0,0,0,16,0,0,0,0,0,0
306,1,0,0,3,2,0,0,34,15,0,1,0,0,1
307,0,0,0,0,0,0,0,11,0,0,0,0,0,0
308,0,0,0,0,0,0,0,16,0,0,0,0,0,0
309,0,0,0,0,0,0,0,17,0,0,0,0,0,0
310,0,0,0,0,0,0,0,20,0,0,0,0,0,0
311,0,0,0,0,0,0,0,15,0,0,0,0,0,0
312,1,0,0,2,2,0,0,36,21,0,1,0,0,1
313,0,0,0,0,0,0,0,13,0,0,0,0,0,0
314,0,0,0,0,0,0,0,12,0,0,0,0,0,0
315,0,0,0,0,0,0,0,21,0,0,0,0,0,0
316,0,0,0,0,0,0,0,8,0,0,0,0,0,0
317,1,0,0,1,1,0,0,28,13,0,0,0,0,1
318,0,0,0,0,0,0,0,18,0,0,0,0,0,0
319,0,0,0,0,0,0,0,7,0,0,0,0,0,0
320,0,0,0,0,0,0,0,12,0,0,0,0,0,0
321,0,0,0,0,0,0,0,19,0,0,0,0,0,0
322,0,0,0,0,0,0,0,10,0,0,0,0,0,0
323,1,0,0,2,1,0,0,36,14,0,0,0,0,1
324,1,0,0,6,3,0,0,83,24,0,1,0,0,1
325,0,0,0,0,0,0,0,15,0,0,0,0,0,0
326,0,0,0,0,0,0,0,11,0,0,0,0,0,0
327,0,0,0,0,0,0,0,18,0,0,0,0,0,0
328,0,0,0,0,0,0,0,16,0,0,0,0,0,0
329,0,0,0,0,0,0,0,18,0,0,0,0,0,0
330,0,0,0,0,0,0,0,12,0,0,0,0,0,0
331,0,0,0,0,0,0,0,16,0,0,0,0,0,0
332,0,0,0,0,0,0,0,11,0,0,0,0,0,0
333,0,0,0,0,0,0,0,17,0,0,0,0,0,0
334,0,0,0,0,0,0,0,12,0,0,0,0,0,0
335,0,0,0,0,0,0,0,18,0,0,0,0,0,0
336,0,0,0,0,0,0,0,13,0,0,0,0,0,0
337,1,0,0,2,2,0,0,37,15,0,1,0,0,1
338,0,0,0,0,0,0,0,11,0,0,0,0,0,0
339,1,0,0,2,2,0,0,43,22,0,1,0,0,1
340,0,0,0,0,0,0,0,10,0,0,0,0,0,0
341,1,0,0,3,2,0,0,37,16,0,1,0,0,1
342,0,0,0,0,0,0,0,12,0,0,0,0,0,0
343,0,0,0,0,0,0,0,12,0,0,0,0,0,0
344,1,0,0,0,1,1,0,23,16,0,0,0,0,1
345,0,0,0,0,0,0,0,9,0,0,0,0,0,0
346,0,0,0,0,0,0,0,10,0,0,0,0,0,0
347,0,0,0,1,2,0,0,46,30,0,1,0,0,1
348,0,0,0,0,0,0,0,17,0,0,0,0,0,0
349,0,0,0,0,0,0,0,22,0,0,1,0,0,0
350,0,0,0,0,0,0,0,27,0,0,0,0,0,0
351,0,0,0,0,0,0,0,16,0,0,0,0,0,1
352,0,0,0,0,0,0,0,15,0,0,0,0,0,0
353,1,0,0,3,1,0,2,77,20,0,0,0,0,1
354,1,0,0,3,2,1,0,59,27,0,1,0,0,1
355,0,0,0,0,0,0,0,8,0,0,0,0,0,0
356,1,0,0,7,3,0,8,140,11,0,0,1,0,1
357,1,0,0,6,1,0,0,77,14,0,0,0,0,1
358,0,0,0,0,0,0,0,12,0,0,0,0,0,0
359,0,0,0,0,2,0,0,22,14,0,1,0,0,0
360,0,0,0,1,2,0,14,140,14,110,1,0,0,0
361,0,0,0,0,0,0,0,17,0,0,0,0,0,0
362,0,0,0,0,0,0,0,13,0,0,0,0,0,0
363,0,0,0,0,0,0,0,10,0,0,0,0,0,0
364,0,0,0,0,0,0,0,21,0,0,0,0,0,0
365,0,0,0,0,0,0,0,14,0,0,0,0,0,0
366,0,0,0,0,0,0,0,16,0,0,0,0,0,0
367,0,0,0,0,0,0,0,12,0,0,0,0,0,0
368,0,0,0,0,0,0,0,22,0,0,0,0,0,0
369,0,0,0,0,0,0,0,29,0,0,0,0,0,0
370,0,0,0,0,0,0,0,8,0,0,0,0,0,0
371,0,0,0,0,0,0,0,9,0,0,0,0,0,0
372,0,0,0,0,0,0,0,14,0,0,0,0,0,0
373,0,0,0,0,0,0,0,10,0,0,0,0,0,0
374,0,0,0,0,0,0,0,18,0,0,0,0,0,0
375,1,0,0,2,3,0,0,81,22,0,2,0,0,1
376,0,0,0,0,0,0,0,15,0,0,0,0,0,0
377,0,0,0,0,0,0,0,21,0,0,0,0,0,0
378,0,0,0,0,0,0,0,19,0,0,0,0,0,0
379,1,0,0,2,3,0,0,81,22,0,2,0,0,1
380,0,0,0,0,0,0,0,11,0,0,0,0,0,0
381,0,0,0,0,0,0,0,24,0,0,0,0,0,0
382,0,0,0,0,0,0,0,8,0,0,0,0,0,0
383,0,0,0,0,0,0,0,10,0,0,0,0,0,0
384,0,0,0,0,0,0,0,10,0,0,0,0,0,0
385,0,0,0,1,3,0,3,37,17,10,1,0,0,0
386,0,0,0,0,0,0,0,18,0,0,0,0,0,0
387,0,0,0,0,0,0,0,9,0,0,0,0,0,0
388,0,0,0,0,0,0,0,15,0,0,0,0,0,0
389,0,0,0,0,0,0,0,16,0,0,0,0,0,0
390,1,0,0,4,1,0,0,63,16,0,0,0,0,1
391,0,0,0,0,0,0,0,14,0,0,0,0,0,0
392,0,0,0,0,0,0,0,10,0,0,0,0,0,1
393,0,0,0,0,0,0,0,12,0,0,0,0,0,0
394,0,0,0,0,0,0,0,9,0,0,0,0,0,0
395,0,0,0,0,0,0,0,22,0,0,0,0,0,0
396,1,0,0,2,2,0,5,89,17,40,1,0,0,1
397,1,0,0,2,2,0,0,42,15,0,0,0,0,1
398,0,0,0,0,0,0,0,14,0,0,0,0,0,0
399,1,0,0,5,1,0,0,61,13,0,0,0,0,1
400,1,0,0,3,2,0,2,52,17,0,1,0,0,1
401,1,0,0,2,2,0,15,134,20,79,0,0,0,1
402,0,0,0,0,0,0,0,18,0,0,1,0,0,1
403,0,0,0,0,0,0,0,16,0,0,0,0,0,0
404,1,0,0,3,1,0,0,33,18,0,0,0,0,1
405,0,0,0,1,3,0,3,37,17,10,1,0,0,0
406,1,0,0,7,3,0,8,119,11,0,0,1,0,1
407,1,0,0,3,1,0,0,31,14,0,0,0,0,1
408,0,0,0,0,0,0,0,12,0,0,0,0,0,0
409,1,0,0,2,1,0,1,45,19,0,0,0,0,1
410,0,0,0,0,1,0,0,29,21,0,0,0,0,0
411,1,0,0,7,3,0,8,140,11,0,0,1,0,1
412,0,0,0,0,0,0,0,12,0,0,0,0,0,0
413,0,0,0,0,0,0,0,7,0,0,0,0,0,0
414,1,0,0,2,1,0,13,131,13,95,0,0,0,1
415,0,0,0,0,0,0,0,9,0,0,0,0,0,0
416,1,0,0,5,2,0,0,73,18,0,1,0,0,1
417,0,0,0,0,0,0,0,11,0,0,0,0,0,0
418,0,0,0,0,0,0,0,18,0,0,0,0,0,0
419,0,0,0,0,0,0,0,7,0,0,0,0,0,0
420,1,0,0,5,3,0,0,77,16,0,1,0,0,1
421,1,0,0,3,2,0,0,37,15,0,1,0,0,1
422,0,0,0,0,0,0,0,13,0,0,0,0,0,0
423,0,0,0,0,0,0,0,15,0,0,0,0,0,0
